Word,Description
Hoihawm (adj),"genial, social, friendly"
Hoiher (adj),"behaviour, looks"
Hoilo par (n),"the name of a mythical flower that grow on the road of ‘mithi khuo’ beyond ‘hringlang tlang’ (the spirits of the dead pluck and wear those blossom in their hair or ears; drink the water of ‘lunglo tui’ and then after, have no desire to turn and look back towards the earth they have left)"
Hoklak (adj),"in the prime age, in the youthful stage"
Hol (v),"to push or poke in, to probe"
Hol fai (v),"to clean up using stick etc, to sweep clean ceiling, roof, etc"
Hong (v),"to open, to take off a covering"
Hor (v),"to have a hole in (as a bund), to leak"
Horzau (v),to enlarge (as a hole)
Hosana (n),hosanna
Hotel (n),hotel
Hotu (n),"a master, commander, overseer"
Hrai (v),"feed, to feed"
Hrai (n),poetical word of child
Hraichawi (n),a child under one’s care and custody
Hraihlum (v),to kill by poisoning the food
Hraileng (n),poetical word of ‘children’
Hram (adj),"without gloss, dry (as unoiled hair)"
Hràm (adv),"to try to, to do one's best to do anything, scarcely, with difficulty, somehow or other"
Hrám (v),"to cry as an animal, to chirp, to mew, etc; to nag, to talk a great deal"
Hrâm (v),"to thin out, as plants"
Hram hram (adv),"somehow or the other, by hook or by crook, with great difficulty"
Hrampui (n),the main skeleton (of books)
Hran (adj),"different, separate, another, separately"
Hrâng (n),"brave, courageous, valiant"
Hrang (adj),"different, distinct, separate"
Hrâng (adj),"haunt, haunted"
Hráng (v),"blowing of the wind; to talk angrily, to fume, to seethe"
Hrang hrang (adj),"different kind, different type"
Hrangate (n),a Hmar Zote sub clan
Hrangchal (n),a Hmar Lawitlang sub clan
Hrangchat (v),"die, to die"
Hrangkhawl (n),name of a Hmar kindred (unau-suopui) tribe settled in NC Hills of Assam and Tripura or Rengpuiram
Hrangkir (n),the little owl
Hrânglam (n),a hmar traditional warrior dance
Hrângsie (n),"ill mannered, one who is always shouting angrily"
Hrángsuon (n),the Jupiter
Hranhnieng (n),a Hmar Changsan sub clan
Hranngul (n),a Hmar Pakhuong sub clan
Hranpa (adj),separately
Hransâr lâm (n),a war dance performed by victors
Hrâp (adj),half (of a four legged animal) including the tail but not the head and internal parts/inerts
Hrât (adj),"brave, persevering, able to suffer privations, persistent"
Hrât lo (adj),"weak, slow, feeble"
Hrât lona (n),weakness
Hrât takin (adv),"swiftly, in a fast manner"
Hrâtkhawkheng (adj),famous or renowned for bravery
Hrâtlona (n),"weakness, debility"
Hrâtna (n),"strength, power, might"
Hraw (v),"to drop by, to drop in"
Hrawk (v),to scare or frighten
Hrawl (v),to physically arrive and request to join
Hrawl (adj),"huge, gigantic"
Hrawmhraw (adj),"large and well built, robust in work and food habit"
Hrawn (v),"to live with, to lodge with"
Hrawn (adj),"in unity, together"
Hrawp (v),to partake (liquid) using spoon
Hrawte (n),a Hmar Changsan sub clan
Hre (v),to keep away
Hre hmang (v),"to keep away, to keep out of sight"
Hrei (n),an axe
Hreiha (n),the handle of axe
Hreihazawn (n),a measurement equal to the length of an axe; a conical heap of rice the apex of which will be level with the head of an axe held high above the head of an ordinary-sized man
Hreipui (n),an axe
Hreite (n),a small axe
Hreite tubau (n),an adze
Hrem (v),to punish
Hremhmun (n),"a hell, a place of punishment mostly referred to as ‘hell’ (of the Bible or Christian faith)"
Hren (v),"tie on the waist; to detain forcibly, to keep as a security or hostage, to keep in a pound"
Hrengkol (n),"chain on the leg, an anklet"
Hrenpereng (n),"a loincloth, a dhooty"
Hrentang (v),detain
Hrep (adv),"hard, with force"
Hrepui (v),witness
Hrepuitu (n),one who witness
Hri (n),"a disease, epidemic"
Hri inleng (n),outbreak of plague or epidemic
Hri le hrai (n),disease and epidemic
Hri ngolvoi (n),epilepsy
Hri1 (v),"to say, to tell, to inform, to teach, to express"
Hri1sawng (v),to repeat to another what one has heard
Hrie (v),"to hear, to feel, to understand, to know, to surmise, to remember"
Hrie zing (v),"to remember, to keep in mind"
Hriek (n),oil
Hriek nal (v),to anoint
Hriel (v),to cut bit bit bit to make a shape
Hriemchawi (v),to be armed
Hriemhrei (n),"weapon, arms"
Hriemhrie (n),a sexual pervert
Hriengzau (n),a species of birch
Hriepuitu (n),witness
Hriet (v),"to hear, to feel, to understand, to know, to surmise, to remember"
Hrietfiena (n),a proof
Hrietfuk (adj),"to remember, to bear in mind"
Hrietkir (v),to recollect
Hrietlawk (v),"to foresee, to foreknow"
Hrietna (n),knowledge
Hrietna var (n),science
Hrietpui (v),to be a witness
Hrietsuok (v),to know well
Hrietsuok nawk (adv),to recollect
Hrietthawi (v),to know vaguely
Hrietthiem (v),"to understand, to comprehend"
Hrietthiem lo (v),"to misunderstand, to not understand"
Hriettir (v),"to explain, to cause to know, to show how to do"
Hrietu (n),one who knows
Hrietzing (v),"remember, to keep in mind"
Hrik (n),"a louse, parasitical insects"
Hrikthra (n),a body louse
Hril loa hmang (phrase),one who is great and whose greatness need no further mention
Hril ruol lo (adj),"unspeakable, impossible to express"
Hrila trangkai lo (v),worthless to speak
Hrileng (v),outbreak of epidemic or disease
Hrilfie (v),to explain
Hrilfiebu (n),a commentary book
Hrilfiena (v),that which explains
Hrilfietu (n),a commentator
Hrilhai (v),"to be baffled, not know what to do, say or think"
Hrilhai thlak (v),to be lost with words
Hrilhmu (v),"to advise, to give hint"
Hrilhnuol (v),"to belittle, to speak against"
Hrilhriet (v),to make someone understand
Hrilin (v),"by telling, by speaking"
Hrilin a siek nawh (v),to be beyond human words to express
Hrilkhi (v),compare
Hrillang (v),"to speak out, to make known, to speak openly"
Hrillawk (v),"to foretell, to prophesy, to say beforehand"
Hrillawkna (n),"prediction, prophesy"
Hrilmawi (v),"to praise, to recommend"
Hrilmawina (n),"recommendation, word of praise"
Hrilnon (v),"to repeat, to iterate"
Hrilpui (v),"to speak for, to plead for"
Hrilpuitu (n),"an advocate, one who pleads for"
Hrilsie (v),to say speak evil of
Hrilsuok (v),"announce, to disclose, to reveal"
Hrilsuol (n),"to make a mistake while speaking, to say a thing by mistake"
Hrilthawi (v),"to hint, to speak vaguely"
Hriltri (v),"to frighten, to scare"
Hriltu (n),one who speak
Hriluor (v),"to exaggerate, to stress"
Hriluorna (n),exaggeration
Hrim (adv),"as it is, so it is, it is"
Hrim hrim (adv),of all type and kind
Hring (adj),"alive, to live"
Hring (v),"to bear, to beget, to bring forth"
Hring (adv),"green (colour), fresh, green (not withered)"
Hring fa (n),a cannibal
Hringhlum (v),"still-born, to give birth to a dead offspring"
Hringlang tlang (n),"the mount believed to be crossed by the spirits of the dead and on which the land of the living can be seen (the spirits of the dead pluck and wear flowers in their hair or ears, and after that have no desire to turn and look back towards the earth they have left)"
Hringmi (n),poetical term for human being
Hringnun (n),life
Hripui (n),"an epidemic, a pestilence, plague"
Hrisel (adj),"healthy, free from sickness"
Hriselna (n),"health, hygiene"
Hritlang (v),"to have a cold, to be unwell"
Hritlang khawsik (n),influenza
Hrivoi (v),to get or contract any disease
Hrizawl (n),"an open or empty space where large people can gather, a large mat or a threshing floor where paddy are manually crashed"
Hro (v),dry
Hrohrang (adj),aggressive nature
Hrol (adj),"huge, gigantic, big"
Hromhraw (adj),"large and well built, robust in work and food habit"
Hron (adj),"in unity, together"
Hrot (v),hardening
Hru (v),"wipe, mop"
Hrui (n),"a creeper, cane, rope, string"
Hruichun (n),name of creeper
Hruiduk (n),the name of a creeper with a bean-like fruit
Hruihruol (n),"string, rope"
Hruipawl (n),the name of a creeper
Hruipuithei (n),the name of a creeper with edible fruit
Hruisen (n),the name of a climbing plant
Hruizam (n),"a creeper, a climbing plant"
Hruk hul (v),to rub or wipe dry
Hrukfai (v),"to scour, to rub clean, to wipe (using cloth, etc)"
Hrukfaina (n),"a duster, wiper, mopper"
Hrulah (adv),"close by, along side"
Hrumhriel (adj),"as it is, without polishing"
Hruoi (n),the part of a four-legged animal meat usually reserved for a Hmar man’s ‘sasem’
Hruol (v),"to roll up in the hand, to twist"
Hruol (n),a rope
Hruolmum (v),to roll up in the hand to be made round in shape
Hrût (adj),inadequately ripen fruit due to deformity or malformation
Hrùt (v),"to thresh, to rub, to wears, to move along"
Hrùtnam (v),"to thresh and level off, to level the surface, to roll over and smoothen"
Hrutruolna (n),a roller
Hu (adj),"wet, to be wet, to get wet"
Hu (v),"to be equivalent, to be equal to"
Hu (n),"vapour, steam"
Huho (n),"in a company, in a band, a party, a group"
Hui (n),"the whistle of the mouth when Hmars made when carrying heavy loads, etc"
Hûiêm (n),name of a species of ‘vahui’ bird
Huihah! (intjn),to make a grunting noise when carrying a load
Hûimeisei (n),name of a species of ‘vahui’ bird
Huiphai (n),a person who is not normal or below average
Huit (n),wheat
Hûitupui (n),name of a species of ‘vahui’ bird
Hul (adj),dry
Hulhliep (n),"a verandah, the front gable of a house"
Hulhû (n),an edible wild creeper plant
Hulhuol (adv),"under no circumstances, on no condition, not at all (a thei naw hulhuol = not possible at all)"
Hum (v),"protect, defend, guard, shield, etc"
Hùm (v),"to clench (the hand), to clasp, to grasp"
Humhal (v),"to reserve for oneself, preserve"
Humhim (v),"to protect, defend, guard, shield, etc"
Humhimna (n),"that which protect, defend, guard, shield, etc"
Humhimtu (n),"one who protect, defend, guard, shield, etc"
Hun (n),"time, season, when (in the future)"
Hun (adj),enough
Hun bi tuk (v),"to fix a certain time, to fix a particular time"
Hun hmang (v),"to spend time, to occupy time"
Hun khawral (v),"to waste time, to spend time uselessly"
Hun laiin (adv),at the time of
Hun raw se (phrase),let it be enough
Hun raw se (adv),let it be enough
Hun remchang (n),"convenient time, an opportune time"
Hun sawn (v),"to alter the time, to postpone"
Hun tawk chie (adv),"to be exactly enough, to be ample"
Hun tawp (n),the end time
Hunbi (n),"a fixed time, period, season, hour, etc"
Hunbi nei (v),"to have a regular, fixed or appointed time, period or season"
Hung (v),come
Hunser (n),solemn period or occasion
Huntawk (adj),"enough, sufficiently, to be enough, to be sufficient"
Huntawk (adj),"enough, just enough, exactly enough"
Huoi (adj),"bold, brave, valiant, daring, heroic, fearless"
Huoi (n),"a demon, an evil spirit"
Huoilut (v),to drag in
Huoina (n),"bravery, boldness"
Huoiruoi (n),name of a variety of mustard
Huoirût (n),the sudden burst of mud and water in streams and small rivers
Huoisen (adj),"brave, daring, courageous"
Huoisenna (n),"boldness, bravery"
Huoisuol (v),to become septic or get poisoned
Huoitakin (adv),"bravely, boldly, courageously"
Huoithupui (n),name of a variety of wild bird
Huol (v),"to surround, to besiege; reserve, to reserve, to engage"
Huol lungril (v),to make a mental note of privately without letting others know
Huolhang (n),a sub clan of Hmar Lusei clan
Huolngo (n),a sub clan of Hmar Lusei clan
Huolvel (v),"to encircle, to surround"
Huom (v),"to dare, to be prepared (to do anything); to include, to take in"
Huom (n),bubble
Huomhap (adj),"greedy, avaricious, rapacious, voracious, grasping"
Huomsa (v),to include
Huon (n),"a garden, a yard"
Huondai (n),fence
Huong (n),"an enclosure, a yard, enclosure, pen, fold"
Huongsung (n),"a yard, enclosure, pen, fold"
Huongtau (adj),in the habit of being exceeding than usual
Huonkang (n),a cooking style of meat
Huop (v),to include
Huopzau (adj),"encompassing, accommodating"
Huor (v),to give extra attention to someone with some expectation from the other end
Huot (v),"to scratch up, to unearth by scratching"
Huot ruol (v),"to scrape level (with hand, hoe, etc)"
Huou huou (n),"social intercourse and other enjoyment, etc"
Huou huou (adv),"flowing out (liquid, water) in large volume"
Hup (v),"to cover (with the hand, etc.) to sip, to suck up, to draw in (as breath)"
Huphlum (v),to suffocate by stopping the nose and mouth
Hur (adj),"to be on heat, to have sexual desire"
Husawp (n),hyssop
Hût (n),"blighted, worms, disease"
Hût pai (v),"to have worms, disease"
I (prn),"you, your, yours"
I ta (prn),"yours, thine"
Idaw (n),a species of rice
Iei (v),not satisfy
Iem (prn),what (interrogative)
Iem a ti a (prn with interrogation mark),why?
Iem ie (prn with interrogation mark),what?
Iemani (n),use to denote ‘something’
Iemani bek (n),at least something
Iemani zat (adv),"a certain amount, a certain quantity"
Iemati khom (prn),"no reason, nothing"
Iemati lie (prn with interrogation mark),why is it?
Ieng dang khom (adv),"nothing more, nothing else"
Ieng ding am (adv),for what?
Ieng inkhawk am? (phrase),why?
Ieng le ang (adj),to behave with pride
Ieng le khawleh (prn),whatever
Ieng lei am? (phrase),why?
Ieng lem am (prn with interrogation mark),which one?
Ieng tik am (phrase),when?
Ieng tik lai khom (adv),"at all time, anytime"
Ieng tin am (adv with interrogation mark),how?
Iengdim (adv with interrogation mark),for what?
Iengkhom (n),nothing
Iengkhom nisien (adv),whatever be the case
Iengkhom ti lo (adv),"uninjured, unharmed, not damaged"
Iengkhomlo (n),nothing
Iengkim (n),"everything, all kind of, all things"
Ienglaikhom (adv),not at any time
Iengma lo (adv),"of no account, for nothing"
Iengmalo (n),"nothing, worthless"
Iengtin khom (adv),"by no means, not by any means"
Ihe (v),"to gainsay, to grumble, to make a fuss"
Ihe lovin (adv),without much ado or grumble or hesitation
Ikaithabi (n),an edible water plant of the ‘touch me not’ family found in abundance in Manipur valley
Ikthik (adj),"to envy, to be jealous of"
Ikthik um (adj),enviable
Ikthikna (n),jealousy
Imu (n),sleep
Imu du (v),to be habitually sleepy
Imu he (n),"heavy sleeper, one who usually sleep long"
Imu hmu (v),to sleep peacefully
Imu hmu lo (v),to not get enough sleep
Imu inden (n),sleeping peacefully
Imu inhnik (n),a sound sleep
Imu suok (v),"wanting to sleep, to feel sleepy"
Imu suok (adj),sleepy
In (v),"sleep, sleeping"
In (n),"a house, a home, a shelter"
In (prefix),an affix indicating the nominative case when the subject is followed by a transitive verb
In (prefix),"a reflexive pronominal prefix, himself, herself, themselves, etc (keiin/ke’n – by me; nangin = by you)"
In (prefix),"a prefix denoting reciprocity, with one another, one another, each other, etc"
